NODES,Tb,PD,QD,Pct,Ict,Zct
1,1,0,0,1,0,0
2,0,44.9132,19.009,1,0,0
3,0,39.99794,16.929,1,0,0
4,0,81.80068,34.622,1,0,0
5,0,292.6314,123.855,1,0,0
6,0,139.93686,59.228,1,0,0
7,0,224.35168,94.956,1,0,0
8,0,58.56106,24.786,1,0,0
9,0,117.12212,49.571,1,0,0
10,0,131.7645,55.768,1,0,0
11,0,109.80422,46.474,1,0,0
12,0,234.25082,99.145,1,0,0
13,0,273.96018,115.952,1,0,0
14,0,285.4968,120.835,1,0,0
15,0,202.47224,85.695,1,0,0
16,0,186.67084,79.007,1,0,0
17,0,0,0,1,0,0
18,0,0,0,1,0,0
19,0,0,0,1,0,0
20,0,28.31938,14.729,1,0,0
21,0,217.11368,112.92,1,0,0
22,0,56.64064,29.458,1,0,0
23,0,217.11368,112.92,1,0,0
24,0,113.27658,58.915,1,0,0
25,0,0,0,1,0,0
26,0,53.56214,27.857,1,0,0
27,0,342.7851,178.281,1,0,0
28,0,0,0,1,0,0
29,0,117.16818,60.939,1,0,0
30,0,53.56214,27.857,1,0,0
31,0,0,0,1,0,0
32,0,80.34462,41.787,1,0,0
33,0,0,0,1,0,0
34,0,372.9309,193.96,1,0,0
35,0,0,0,1,0,0
36,0,170.28288,88.563,1,0,0
37,0,227.64168,118.395,1,0,0
38,0,70.79704,36.821,1,0,0
39,0,0,0,1,0,0
40,0,1.17876,0.531,1,0,0
41,0,5.89756,2.66,1,0,0
42,0,0,0,1,0,0
43,0,110.8072,49.971,1,0,0
44,0,58.90792,26.566,1,0,0
45,0,161.9479,73.034,1,0,0
46,0,431.04264,194.388,1,0,0
47,0,247.18428,111.473,1,0,0
48,0,221.61534,99.942,1,0,0
49,0,0,0,1,0,0
50,0,102.6621,46.298,1,0,0
51,0,0,0,1,0,0
52,0,68.44046,30.865,1,0,0
53,0,242.96462,109.57,1,0,0
54,0,65.01886,29.322,1,0,0
55,0,20.53242,9.26,1,0,0
56,0,0,0,1,0,0
57,0,19.29538,8.702,1,0,0
58,0,141.51512,63.819,1,0,0
59,0,207.44578,93.552,1,0,0
60,0,86.84096,39.163,1,0,0
61,0,0,0,1,0,0
62,0,213.09142,96.098,1,0,0
63,0,0,0,1,0,0
64,0,276.37504,116.974,1,0,0
65,0,78.0341,33.028,1,0,0
66,0,78.0341,33.028,1,0,0
67,0,97.5438,41.285,1,0,0
68,0,165.82352,70.184,1,0,0
69,0,78.0341,33.028,1,0,0
70,0,204.84198,86.698,1,0,0
71,0,21.89636,9.267,1,0,0
72,0,4.7705,2.019,1,0,0
73,0,68.27972,28.899,1,0,0
74,0,381.6306,161.523,1,0,0
75,0,0,0,1,0,0
76,0,94.17108,42.468,1,0,0
77,0,133.97162,60.417,1,0,0
78,0,90.27948,40.713,1,0,0
79,0,282.42676,127.366,1,0,0
80,0,132.76372,59.873,1,0,0
81,0,263.05618,118.631,1,0,0
82,0,82.07328,37.013,1,0,0
83,0,229.21806,103.371,1,0,0
84,0,232.885,105.025,1,0,0
85,0,0,0,1,0,0
86,0,84.48532,38.101,1,0,0
87,0,1069.0432,482.108,1,0,0
88,0,430.83866,194.296,1,0,0
89,0,362.08518,163.29,1,0,0
90,0,0,0,1,0,0
91,0,74.83152,33.747,1,0,0
92,0,82.07328,37.013,1,0,0
93,0,0,0,1,0,0
94,0,69.56094,31.37,1,0,0
95,0,218.127,98.369,1,0,0
96,0,133.30986,60.119,1,0,0
97,0,0,0,1,0,0
98,0,71.86206,32.408,1,0,0
99,0,0,0,1,0,0
100,0,48.24268,21.756,1,0,0
101,0,56.28156,25.381,1,0,0
102,0,8.5211,3.843,1,0,0
103,0,1.96648,0.887,1,0,0
104,0,15.7309,7.094,1,0,0
105,0,1416.1288,638.634,1,0,0
106,0,294.24162,132.694,1,0,0
107,0,75.04114,33.842,1,0,0
108,0,48.24268,21.756,1,0,0
109,0,0,0,1,0,0
110,0,190.2889,85.815,1,0,0
111,0,57.17362,25.784,1,0,0
112,0,42.88092,19.338,1,0,0
113,0,0,0,1,0,0
114,0,147.6458,66.584,1,0,0
115,0,0,0,1,0,0
116,0,235.13912,106.041,1,0,0
117,0,0,0,1,0,0
118,0,65.62046,29.593,1,0,0
119,0,30.14768,13.596,1,0,0
120,0,57.41896,25.894,1,0,0
121,0,0,0,1,0,0
122,0,88.94468,46.26,1,0,0
123,0,46.86652,24.375,1,0,0
124,0,115.77416,60.214,1,0,0
125,0,73.649,38.304,1,0,0
126,0,136.7465,71.121,1,0,0
127,0,20.08686,10.447,1,0,0
128,0,70.30166,36.564,1,0,0
129,0,214.25044,111.431,1,0,0
130,0,33.47716,17.411,1,0,0
131,0,234.3373,121.877,1,0,0
132,0,297.71868,154.842,1,0,0
133,0,313.78798,163.199,1,0,0
134,0,234.3373,121.877,1,0,0
135,0,0,0,1,0,0
136,0,0,0,1,0,0
