NODES,Tb,PD,QD,Pct,Ict,Zct
1,1,0,0,1,0,0
2,0,100,60,1,0,0
3,0,90,40,1,0,0
4,0,120,80,1,0,0
5,0,60,30,1,0,0
6,0,60,20,1,0,0
7,0,200,100,1,0,0
8,0,200,100,1,0,0
9,0,60,20,1,0,0
10,0,60,20,1,0,0
11,0,45,30,1,0,0
12,0,60,35,1,0,0
13,0,60,35,1,0,0
14,0,120,80,1,0,0
15,0,60,10,1,0,0
16,0,60,20,1,0,0
17,0,60,20,1,0,0
18,0,90,40,1,0,0
19,0,90,40,1,0,0
20,0,90,40,1,0,0
21,0,90,40,1,0,0
22,0,90,40,1,0,0
23,0,90,50,1,0,0
24,0,420,200,1,0,0
25,0,420,200,1,0,0
26,0,60,25,1,0,0
27,0,60,25,1,0,0
28,0,60,20,1,0,0
29,0,120,70,1,0,0
30,0,200,600,1,0,0
31,0,150,70,1,0,0
32,0,210,100,1,0,0
33,0,60,40,1,0,0
